customer_id,company_name,first_name,last_name,email,phone,address,city,state,zip_code,customer_type,credit_limit,payment_terms,created_date
CUST-00001,,Hannah,Marquez,pcarney@example.com,587.213.3150x983,031 Michele Cliffs,West Elizabeth,MO,28581,B2C,1000.0,Due on Receipt,2024-08-08
CUST-00002,,David,Walls,esanchez@example.com,311.265.6670,513 James Mission Apt. 624,Wrightland,NY,58583,B2C,1000.0,Due on Receipt,2025-03-05
CUST-00003,"Garcia, Pearson and Fernandez",Alexis,Davis,gabrieltucker@example.org,(502)660-6474x6872,98050 Breanna Parkway,North Susan,NY,11001,B2B,35367.64,Net 60,2025-04-08
CUST-00004,,Jacob,Larson,richarddavid@example.net,799.609.1699,534 Anderson Rue,Stephenland,MI,01721,B2C,1000.0,Due on Receipt,2024-06-06
CUST-00005,,Christine,Hart,jonesjason@example.com,(651)235-4278,124 Pamela Summit Apt. 449,Lake Matthew,NH,90612,B2C,1000.0,Due on Receipt,2024-10-21
CUST-00006,,Melissa,Wagner,rebecca01@example.net,(340)405-2427x86801,9826 Bobby Lakes,West Jasonbury,NC,87917,B2C,1000.0,Due on Receipt,2023-09-04
CUST-00007,,Michael,Castro,vdickson@example.org,622.460.2563,0733 Bailey View,East Andrew,GA,25814,B2C,1000.0,Due on Receipt,2024-04-21
CUST-00008,Ramirez-Jones,Kerri,Bell,ifrazier@example.com,8147294019,9816 Jonathan Station Suite 088,West Ryan,NC,87563,B2B,34215.78,Net 30,2025-06-01
CUST-00009,,Mark,Edwards,cortezkevin@example.com,+1-865-264-8236x6299,3699 Marshall Mills Apt. 872,West Zacharymouth,IL,12741,B2C,1000.0,Due on Receipt,2025-03-13
CUST-00010,,Stephanie,Young,jeffrey32@example.org,8379917693,20163 Linda Square Suite 083,South Dennismouth,IN,88001,B2C,1000.0,Due on Receipt,2024-08-02
CUST-00011,,Vanessa,Larson,usalazar@example.net,(387)627-7434x87347,5581 Edward Lights,Lake Jason,CA,54878,B2C,1000.0,Due on Receipt,2024-04-28
CUST-00012,Daniels-Perry,Jamie,Fisher,gateskathy@example.com,805.946.6889x3734,5627 Tina Place,South Brittanytown,GA,11504,B2B,22489.06,Net 60,2024-10-28
CUST-00013,,Roy,Camacho,brentgray@example.org,755.564.6417x080,003 Mary Road,East David,VA,88248,B2C,1000.0,Due on Receipt,2023-09-13
CUST-00014,,Anne,Robinson,katie29@example.net,001-512-341-9049x663,919 Michael Meadow Suite 185,Port Robertfort,MD,14334,B2C,1000.0,Due on Receipt,2024-05-18
CUST-00015,,Susan,Reid,bzimmerman@example.org,001-684-998-7769x453,9965 Troy Islands,South Jason,VA,34363,B2C,1000.0,Due on Receipt,2024-03-07
CUST-00016,Beard-Haynes,Joshua,Smith,christophercortez@example.com,+1-837-577-0143,957 Coleman Summit Suite 574,Johnville,AR,95041,B2B,34471.49,Net 60,2023-11-13
CUST-00017,,Leslie,Newton,jamesrodgers@example.com,001-498-694-1343x524,84271 Audrey Mountains,Alexanderburgh,PA,07235,B2C,1000.0,Due on Receipt,2023-12-30
CUST-00018,,Shelley,Woods,moralescharles@example.net,+1-502-829-4131x8699,4964 Chelsea Streets Apt. 334,East Johnside,GA,10339,B2C,1000.0,Due on Receipt,2023-10-16
CUST-00019,,Aaron,Hayes,ocarter@example.com,001-447-613-4936x183,02499 Gonzales Mountain,Hollyview,CT,66098,B2C,1000.0,Due on Receipt,2024-08-09
CUST-00020,Kim-George,Pamela,Navarro,anthony39@example.net,4498027874,75655 Mia Isle Suite 746,South Christopherview,OH,42873,B2B,9470.96,Due on Receipt,2023-09-15
CUST-00021,,Tara,Powell,sandovalamy@example.com,6384597703,7109 Jennifer Inlet Apt. 861,Port Robin,NC,60983,B2C,1000.0,Due on Receipt,2023-09-16
CUST-00022,,Deborah,Moore,william46@example.com,737.682.6398x2146,4997 Sean Orchard,Martinside,AL,49942,B2C,1000.0,Due on Receipt,2024-06-04
CUST-00023,,Sarah,Kane,ashleyhall@example.com,7573662702,87026 Charles Tunnel Suite 596,Port Markside,PA,50309,B2C,1000.0,Due on Receipt,2024-02-17
CUST-00024,"Higgins, Malone and Brennan",Barry,Jones,wendy16@example.org,001-517-824-0050x455,21969 Tyler Prairie,East Steven,FL,33790,B2B,9125.3,Net 30,2024-06-07
CUST-00025,,Jonathan,Smith,rsantana@example.net,(617)559-4647,1369 Andrews Squares Suite 064,New Michelleton,NE,79983,B2C,1000.0,Due on Receipt,2025-01-15
CUST-00026,Wall-Leach,Kimberly,Hall,jeffery39@example.com,+1-421-504-7095x2145,588 Rivas Glens,Coffeyport,OH,98354,B2B,40405.76,Net 30,2025-04-23
CUST-00027,Brock-Mcdonald,Charles,Webster,michelleramsey@example.com,+1-751-660-4817,513 Johnson Points Suite 931,Blankenshipport,DC,85598,B2B,30406.01,Net 30,2024-04-29
CUST-00028,Taylor Inc,Kevin,Vasquez,youngamanda@example.com,258.769.2617x964,7351 Stephens Rue,Bruceview,MA,25379,B2B,14322.08,Net 30,2023-09-19
